BasinID,.geo
227807,"{""type"":""Polygon"",""coordinates"":[[[120.17450425010982,22.933692238148883],[120.1725151966159,22.922925968765618],[120.171270651633,22.91608774569104],[120.17354516487762,22.910792222825467],[120.1807978580539,22.893396959091078],[120.18543271523163,22.884105936472572],[120.18247155647919,22.8928039340995],[120.17882375221893,22.908775168528514],[120.17702130776092,22.917273944719998],[120.17612008553192,22.924744521780685],[120.17603425484344,22.928341319381],[120.17612008553192,22.935574150665857],[120.17491845589325,22.938459270657532],[120.17450425010982,22.933692238148883]]]}"
249328,"{""type"":""Polygon"",""coordinates"":[[[28.372489844003496,40.39823680225138],[28.38339034144002,40.39581825125607],[28.403045569101153,40.393399613384126],[28.425018225351153,40.39248443045332],[28.4482783419283,40.39366109193699],[28.465186987558184,40.394641627467244],[28.48947707239705,40.394641627467244],[28.507844839731035,40.393782925969894],[28.524410162607012,40.39044900439769],[28.54492369715291,40.38260383197809],[28.570072088876543,40.37534623396232],[28.60388938013631,40.368153248446774],[28.622428808847246,40.36501425052688],[28.63229933802205,40.36449106999432],[28.628265295663653,40.36579901371189],[28.60260191980916,40.369722692586144],[28.576766882577715,40.37547700841054],[28.554691390227323,40.382229806970756],[28.53349121017361,40.389550234633475],[28.520959929656033,40.39451843750637],[28.514951781462674,40.396348735642114],[28.50379379196072,40.39661020274291],[28.47701992022138,40.3968063024022],[28.454260713766573,40.39684434482294],[28.438467867086885,40.39573310649645],[28.421559221457002,40.39488332363683],[28.40476353554394,40.39524200932144],[28.386395768209955,40.39733375207965],[28.372920350119134,40.39962152131407],[28.372489844003496,40.39823680225138]]]}"
262402,"{""type"":""Polygon"",""coordinates"":[[[26.94184456775642,39.52829061889354],[26.940385445712103,39.53438094677127],[26.941758737050737,39.53888215008122],[26.944312177630163,39.54205935947426],[26.947605823005915,39.543565114848434],[26.950084315786267,39.54536866492823],[26.952609647596073,39.54679912566984],[26.95316093799921,39.54829575058786],[26.95453422933839,39.55259751495833],[26.953289732538032,39.55603869928349],[26.951787646664933,39.55749458356639],[26.951873477371354,39.55140628383671],[26.947324449814232,39.54723681383685],[26.939857178165415,39.5437289704186],[26.9368531033632,39.537705655855014],[26.93753974903065,39.532368998720116],[26.940028839578662,39.52852939515553],[26.94110836664529,39.526887347728064],[26.94184456775642,39.52829061889354]]]}"
262538,"{""type"":""Polygon"",""coordinates"":[[[20.159056098198977,39.52977392220929],[20.156309516167727,39.52891330790791],[20.15128842089185,39.52974082185647],[20.143563658928958,39.529575319855745],[20.139958770012942,39.53288528491464],[20.14055958483228,39.53659225843647],[20.144936949944583,39.542483291195765],[20.14725437853345,39.546388306971465],[20.14828434679517,39.55294029735037],[20.147941024041263,39.561807662439875],[20.152060897088138,39.574246532370175],[20.151374251580325,39.583640369687316],[20.147426039910403,39.58708004796339],[20.14502278063306,39.59104869534786],[20.151889235711185,39.59528166866152],[20.15051594469556,39.59753033053081],[20.14347782824048,39.59607532236271],[20.13781300280103,39.590784125927804],[20.139357955193606,39.581655862246784],[20.14605274889478,39.57504042702665],[20.143821150994388,39.562866376542374],[20.142919665763802,39.552393814820455],[20.1400014223556,39.545378473717264],[20.134851581047005,39.53571467281483],[20.134164935539193,39.529227257237366],[20.14343464989466,39.52512266083742],[20.15442097801966,39.52551989044778],[20.160600787589974,39.52843283816019],[20.159056098198977,39.52977392220929]]]}"
264925,"{""type"":""Polygon"",""coordinates"":[[[107.5891494796326,21.2925269785596],[107.57721913077224,21.290687634341335],[107.57219804732553,21.292207157649035],[107.56786367144818,21.28860833372394],[107.56468797294517,21.292207094105652],[107.55996733130365,21.2955658442934],[107.55327260318273,21.29972419058245],[107.54571957658486,21.299884124664196],[107.54082697936315,21.293727014273315],[107.51688064431332,21.295485906960785],[107.51533598901057,21.28524955710441],[107.53747991100077,21.282290336413705],[107.53953982731348,21.277491665127204],[107.54983940917306,21.280850751380093],[107.55601915826507,21.279731064441194],[107.55790741493595,21.281330614569978],[107.5498394091859,21.28325005179007],[107.54142808402285,21.28149056870426],[107.54194306316316,21.286768954972363],[107.54726451377981,21.290287773859504],[107.55258596437056,21.292047151715582],[107.55739243585373,21.28708885100871],[107.56408716402511,21.283410003737387],[107.57696164131671,21.280050975914662],[107.59052275733475,21.283729907349105],[107.6028822554201,21.287728641532468],[107.6030539150167,21.292367036725494],[107.5891494796326,21.2925269785596]]]}"
275141,"{""type"":""Polygon"",""coordinates"":[[[-124.41706943279758,48.57666826932081],[-124.41663724992833,48.57521819514012],[-124.40916998003087,48.569652596775285],[-124.40582860638138,48.564942382531775],[-124.40711606670853,48.55914842662741],[-124.40642942120071,48.557785046430986],[-124.40248120953079,48.55858035601108],[-124.40050710369583,48.560000520590734],[-124.40196622539993,48.56142064529999],[-124.40222371746536,48.56806629902111],[-124.40784562756058,48.57383083826064],[-124.41501249004837,48.57743689070391],[-124.41706943279758,48.57666826932081]]]}"
295697,"{""type"":""Polygon"",""coordinates"":[[[120.44810430027613,17.43271467954045],[120.44935689068195,17.429454463017684],[120.45201764202473,17.42437721867596],[120.454404812275,17.41976049691301],[120.45792387050254,17.411570888569038],[120.45886800807578,17.403708519174412],[120.45981215150383,17.397524853821256],[120.46067045253379,17.401333361900193],[120.46084211391074,17.40706644748711],[120.46006963771445,17.4105881108946],[120.45354650539024,17.425820570649723],[120.45067117732627,17.430365493933643],[120.44810430027613,17.43271467954045]]]}"
296274,"{""type"":""Polygon"",""coordinates"":[[[82.61000673299594,17.2879669870008],[82.65000383382602,17.313452646977584],[82.6361850929813,17.30624162876195],[82.61069337850375,17.29140898650566],[82.58901559544195,17.278364706111525],[82.61000673299594,17.2879669870008]]]}"
299177,"{""type"":""Polygon"",""coordinates"":[[[15.089692713880547,37.42289864206987],[15.090808512830742,37.4070146726757],[15.088576914930352,37.404287472205674],[15.088315771741957,37.40046694752139],[15.08874126613096,37.3970555305956],[15.08907733606712,37.38770971335291],[15.090193135017316,37.37447845713742],[15.091265975241814,37.36666796695729],[15.092253071540753,37.38641397179566],[15.093111378425519,37.40223763069146],[15.093283039802472,37.410146454938506],[15.090879780525128,37.42187179551322],[15.089692713880547,37.42289864206987]]]}"
314898,"{""type"":""Polygon"",""coordinates"":[[[120.05609257330396,15.078693878318585],[120.05643589605786,15.074218554803444],[120.05746586431958,15.059963193211113],[120.05677921881177,15.053498237898436],[120.05368931402661,15.046701534869683],[120.05111439337232,15.038246796912508],[120.05162696507999,15.033107478658215],[120.05712012914249,15.02829961723714],[120.06192664769718,15.02199949693901],[120.06364326146671,15.007906449664503],[120.06535987523624,14.997294600679451],[120.06656150487491,15.016362389609208],[120.06415824559757,15.028133826980147],[120.06158332494327,15.038081014385599],[120.06209830907413,15.043385991318903],[120.06226997045108,15.056035231651045],[120.0607250180585,15.06797023826692],[120.05797843602726,15.078578571187409],[120.05609257330396,15.078693878318585]]]}"
323297,"{""type"":""Polygon"",""coordinates"":[[[32.808541602790356,36.02343211089981],[32.820300407111645,36.033982917177134],[32.837294883430005,36.040992868826095],[32.84562046021223,36.04925131806629],[32.83944065064192,36.045226299761126],[32.817811317145825,36.03870255721499],[32.807854957282544,36.02954064466086],[32.804593391120434,36.022113160760306],[32.808541602790356,36.02343211089981]]]}"
331379,"{""type"":""Polygon"",""coordinates"":[[[-64.36480208344022,45.110278484588136],[-64.35312910980741,45.102645582825346],[-64.34634848541776,45.10070690557197],[-64.3403403372244,45.10621984643021],[-64.34076949066679,45.108218913230246],[-64.35870810455839,45.10961216081066],[-64.36608954376737,45.114215693573094],[-64.36917944855253,45.11227740924758],[-64.36480208344022,45.110278484588136]]]}"
382322,"{""type"":""Polygon"",""coordinates"":[[[122.94878863486048,10.716921029994229],[122.94655703696009,10.722327234231576],[122.94741534384485,10.724161452205118],[122.94805907400843,10.725574003294646],[122.95102023276087,10.724857187148126],[122.95582675131556,10.724266866693256],[122.95947455557581,10.72481502143956],[122.96033286246058,10.726838968821152],[122.95689963492151,10.726248652233785],[122.95020484122034,10.727344953550434],[122.94617079886194,10.727766606844863],[122.94471167715784,10.72582699682317],[122.94479750784632,10.721357413338009],[122.94762992056604,10.717309431702732],[122.94878863486048,10.716921029994229]]]}"
383601,"{""type"":""Polygon"",""coordinates"":[[[107.83464357952268,10.706160142823485],[107.83103869060666,10.706244479430747],[107.81794705249408,10.698942885349684],[107.80867733813861,10.69042456443638],[107.79889263965228,10.680134788690332],[107.78859295703509,10.66697686281772],[107.78026738025287,10.658373295807923],[107.77271427966693,10.652890503702258],[107.75580563403705,10.642093332303315],[107.75151409961322,10.640068820089436],[107.74404682971576,10.638297360877816],[107.73958363391498,10.637453805256275],[107.72954144336322,10.63272985067313],[107.72233166553119,10.632223708344615],[107.71520771838763,10.633404705805399],[107.71040119983294,10.633995202821932],[107.70233311511615,10.631970636865598],[107.71838345386126,10.630705276323056],[107.72911228992083,10.62969298411236],[107.74439015246966,10.63568233085846],[107.75932469226458,10.640828013744695],[107.76996769763568,10.64656408248775],[107.77846493579486,10.646648435634573],[107.78541722156146,10.657867196057074],[107.79701628074615,10.673128423679222],[107.81246580467193,10.69210563542858],[107.82259382591216,10.699527511085172],[107.83464357952268,10.706160142823485]]]}"
412843,"{""type"":""Polygon"",""coordinates"":[[[80.09818941565187,9.159348618160848],[80.09973436804445,9.159518090720837],[80.1013651511255,9.162822789483686],[80.10149389715822,9.169304993900626],[80.10265261145265,9.172906167432354],[80.10385424109133,9.17477028996361],[80.10454088659914,9.17934582191536],[80.1070456476908,9.182596545898637],[80.1070456476908,9.187087247173215],[80.10756063182166,9.197085207781377],[80.10944890696814,9.203778599839982],[80.10781812388709,9.204456404630891],[80.10498571116736,9.20106736768489],[80.10361242015173,9.194373924331634],[80.1044707270365,9.186748328307953],[80.10455655772498,9.18386750486354],[80.10283994395544,9.179630957258007],[80.10198163707068,9.176156950445593],[80.09966420848181,9.17124244367289],[80.09943537519634,9.166510635371477],[80.0991778831309,9.161934937941902],[80.09818941565187,9.159348618160848]]]}"
422862,"{""type"":""Polygon"",""coordinates"":[[[126.31348429539419,8.227719029725119],[126.31379426484446,8.227272463690815],[126.31924451356272,8.230373029418816],[126.32862143011626,8.239334631548198],[126.33365450718618,8.247978428800744],[126.33082209446646,8.246152152352828],[126.32726012089468,8.242542046183216],[126.32532893040396,8.239951243798885],[126.32185278752065,8.238167402786909],[126.31717501499868,8.233707765081537],[126.31408511021353,8.230649698765694],[126.31348429539419,8.227719029725119]]]}"
472086,"{""type"":""Polygon"",""coordinates"":[[[98.51634151619903,4.018848560185058],[98.50964672249786,4.020047234193744],[98.4955704895877,4.029294088698073],[98.48921901864044,4.033403768083269],[98.47445614022247,4.039397013255697],[98.46106655282013,4.0421367677366025],[98.43909389657013,4.045561447818175],[98.42021114510528,4.056691558034829],[98.40321666878692,4.07175977054242],[98.40853817147247,4.061968278108144],[98.42398769539825,4.0477560491958755],[98.4351456849002,4.041420396825767],[98.44252712410919,4.039194345048858],[98.45626003426544,4.039194345048858],[98.46467144173614,4.038338169662157],[98.47239620369903,4.034742223176813],[98.48818905037872,4.029947603102451],[98.48750240487091,4.004946626932563],[98.49402553719513,3.999809345294299],[98.49745876473419,4.012138767037692],[98.50844509285919,4.013851172019514],[98.51874477547638,4.014536133006779],[98.51634151619903,4.018848560185058]]]}"
574716,"{""type"":""Polygon"",""coordinates"":[[[99.1431558415739,-1.8007860819145176],[99.14452913258953,-1.8000139870580247],[99.1425979420988,-1.7948666796655357],[99.14319875691814,-1.7918640769920124],[99.14671781514568,-1.787531741604107],[99.15521505330486,-1.7830707123037373],[99.16839006398601,-1.7798965117928878],[99.19006231282634,-1.779553354653416],[99.18667200063152,-1.778781250856142],[99.16589915588476,-1.779036684322887],[99.15594279602148,-1.780881153713423],[99.1509217007456,-1.7822966754820797],[99.14718806861697,-1.7843341674791076],[99.14489209488012,-1.7869721790405622],[99.14178073242284,-1.7916047763310425],[99.14109408691503,-1.7952507937386273],[99.14190947845556,-1.7974384006935298],[99.1431558415739,-1.8007860819145176]]]}"
620926,"{""type"":""Polygon"",""coordinates"":[[[119.01337050741961,-3.52600647155277],[119.01847743338396,-3.5210377021173067],[119.02414225882342,-3.5154263875164187],[119.02285479849627,-3.5138843409468103],[119.02092360800555,-3.5140128449249706],[119.0196361476784,-3.5152550491345704],[119.01834868735125,-3.5183391351906796],[119.01534461325457,-3.5226654053715802],[119.01298426932146,-3.525492462152148],[119.01337050741961,-3.52600647155277]]]}"
632150,"{""type"":""Polygon"",""coordinates"":[[[121.60903442256507,-4.162902820556386],[121.61195266597328,-4.1606771071625825],[121.614785078693,-4.156739291137227],[121.61746382599323,-4.152576398610246],[121.61827921753375,-4.148895359467515],[121.61793589477985,-4.144101422309551],[121.61815047150104,-4.141105196825474],[121.61836504822223,-4.140334737009919],[121.61802172546832,-4.137293614074622],[121.61733507996051,-4.132970447940695],[121.61772131805866,-4.13044502315262],[121.61647677307575,-4.127962394339207],[121.61561846619098,-4.124424188123764],[121.61401985944664,-4.120035478261633],[121.61182045822589,-4.115903590502222],[121.61149858852451,-4.118750089629499],[121.61409497147052,-4.122367068099652],[121.615082024388,-4.1269043123757045],[121.61589741592853,-4.134694614704221],[121.61645531540363,-4.144796211376984],[121.61568283920734,-4.153487273063284],[121.61121964340656,-4.159180002509239],[121.60903442256507,-4.162902820556386]]]}"
654755,"{""type"":""Polygon"",""coordinates"":[[[120.22612890988442,-5.539524969374468],[120.23329577237222,-5.539396824592022],[120.2397759893522,-5.538158090262036],[120.24483999997231,-5.5379872301506525],[120.25518259793374,-5.536791207987788],[120.26024660855386,-5.53568061381235],[120.24514040738198,-5.536663062612498],[120.24217924862954,-5.536321341475908],[120.2403338888273,-5.536577632346878],[120.23621401578042,-5.5379872301506525],[120.2247556188688,-5.539055105036243],[120.22612890988442,-5.539524969374468]]]}"
