system:index,BasinID,change2,deposition2,erosion2,.geo
00000000000000000000,149,0.06926434951782245,0.4208494971618658,-0.35158514764404336,"{""type"":""Polygon"",""coordinates"":[[[39.790625598691086,64.63101427992954],[39.81534477568874,64.61276828462154],[39.83457079845221,64.64954197906434],[39.86066339944441,64.68421062342779],[39.94649401213775,64.69536562388618],[40.04262437389801,64.7402329632227],[40.18132680869301,64.76893248725254],[40.403799948056914,64.79467743721399],[40.40791989293215,64.81513888040372],[40.35298807763722,64.82799236729117],[40.1209020761728,64.78765850018291],[39.93001454440724,64.76366339878076],[39.79955194097564,64.68626583676367],[39.781699158373264,64.6427792959948],[39.790625598691086,64.63101427992954]]]}"
00000000000000000001,2769,-0.005030780212402343,0.0,-0.005030780212402343,"{""type"":""Polygon"",""coordinates"":[[[6.035535683849533,36.851554437309844],[6.0733011402800745,36.8657014189101],[6.099736995246071,36.876412881694705],[6.1423089909231186,36.89069254430109],[6.125314562226015,36.88767210745488],[6.078279367351398,36.87201858848545],[6.060426553851125,36.86556408146755],[6.035535683849533,36.851554437309844]]]}"
00000000000000000002,3018,-0.07142793127441287,0.12478103405761722,-0.19620896533203008,"{""type"":""Polygon"",""coordinates"":[[[141.79697674394072,58.78495356914619],[141.80452979039538,58.78780028171871],[141.84881845357503,58.82016529549338],[141.88006083436423,58.846461912632286],[141.8941369918288,58.87043129145105],[141.9370523761196,58.923991547687386],[141.9181697086982,58.90555629830464],[141.88212081078325,58.867258179726704],[141.86770115525087,58.84932544532345],[141.86220817657696,58.842753688916375],[141.82890569935873,58.81360992916478],[141.7969767812432,58.786042959066336],[141.79697674394072,58.78495356914619]]]}"
00000000000000000003,7818,0.0514579205915862,0.05229501831030748,-8.370977187212777E-4,"{""type"":""Polygon"",""coordinates"":[[[-3.2084757914007573,35.22324984447294],[-3.2061583502468873,35.22198779018091],[-3.2014376485136236,35.223109644480324],[-3.1971461223405795,35.225353273900396],[-3.1913954542768592,35.22731645965612],[-3.1762034427984562,35.23664086695451],[-3.1693369447190243,35.242739770103334],[-3.1813532635722566,35.23488826020871],[-3.1928545913088078,35.22878879798528],[-3.202295937821689,35.22521310225407],[-3.2084757914007573,35.22324984447294]]]}"
00000000000000000004,20123,8.814317016601562E-4,0.0017628252563476562,-8.813935546875E-4,"{""type"":""Polygon"",""coordinates"":[[[-71.05319403088717,9.760198049183847],[-71.05838680387892,9.768276133082859],[-71.05714223099089,9.764004525943832],[-71.05113413264293,9.751020064678105],[-71.04607012692895,9.74738264986417],[-71.03886031325167,9.741207411321017],[-71.02967642843049,9.727080101700931],[-71.03087809946892,9.729871782241872],[-71.03323835587652,9.736597084970922],[-71.03718665650716,9.742560923246831],[-71.04214494464647,9.747704757497468],[-71.04712321382976,9.750665471169116],[-71.04956934303185,9.753034013031282],[-71.05218720658256,9.758405434059517],[-71.05319403088717,9.760198049183847]]]}"
00000000000000000005,26952,0.02360850771292891,0.024492788901893756,-8.842811889648438E-4,"{""type"":""Polygon"",""coordinates"":[[[-79.85911335384976,8.554170208293618],[-79.83739813811286,8.557989601971533],[-79.83370740701919,8.559856867239443],[-79.81602634872111,8.566604367517295],[-79.82117615096543,8.565500980955887],[-79.8243947962426,8.564652255568806],[-79.83307584273666,8.561679658359546],[-79.83813985602274,8.56066115052184],[-79.84015683223907,8.5596425989043],[-79.84530668268978,8.557775406097933],[-79.85522012614685,8.555695949251179],[-79.86178616818374,8.554422808097133],[-79.85911335384976,8.554170208293618]]]}"
00000000000000000006,42223,-0.0081042509765625,0.0,-0.0081042509765625,"{""type"":""Polygon"",""coordinates"":[[[143.99216897696002,49.97156270028587],[143.9926839542918,49.97299794885768],[143.98993739383337,49.98282293496512],[143.98925079032642,49.99551509059022],[143.99388568995042,50.00478376515592],[143.99783376844522,50.012285668880075],[143.99886384009505,50.019676094653384],[143.9902807371326,50.02805795455881],[143.97414452911636,50.04492740402194],[143.98530255686646,50.02894010452989],[143.99525898264545,50.018683424818434],[143.99440061027326,50.01162378491278],[143.99199727541148,50.00809357212326],[143.98650422301284,49.997722061703605],[143.985817519215,49.98701719960223],[143.98890747544198,49.977745082836115],[143.99216897696002,49.97156270028587]]]}"
00000000000000000007,48430,0.012419204444316783,0.02472330894440295,-0.012304104500086168,"{""type"":""Polygon"",""coordinates"":[[[166.8930468994389,-15.169636256897695],[166.89854008748955,-15.16835225119353],[166.90102920241947,-15.167979463947088],[166.90583569637585,-15.168062300007731],[166.90978393256893,-15.168932198323006],[166.91489084161717,-15.170671805751509],[166.912401743559,-15.16889072884541],[166.9059215327699,-15.166819758255109],[166.89866884969635,-15.166488355133074],[166.8960510101583,-15.166964692181068],[166.89403394106316,-15.167855198772727],[166.88768250388327,-15.17087886748956],[166.88671687380096,-15.171955830407144],[166.8930468994389,-15.169636256897695]]]}"
00000000000000000008,71749,4.182859232172611,5.685250973180817,-1.5023917410082057,"{""type"":""Polygon"",""coordinates"":[[[-42.83818985773566,-2.5398138221785156],[-42.8102091230929,-2.555076544192043],[-42.77793677137774,-2.5607357265191095],[-42.74188784873219,-2.568109790991015],[-42.71098878376667,-2.5718825350705568],[-42.70000249607976,-2.5751408383306926],[-42.67820149504892,-2.595890716524948],[-42.65331060921814,-2.6176691556648226],[-42.65828877301988,-2.6068656778808594],[-42.676656557267535,-2.588173837088752],[-42.70171911997819,-2.564851479350969],[-42.717855266991144,-2.5549050419381576],[-42.74429115459378,-2.542557679279574],[-42.773301903514806,-2.543758106367432],[-42.79132634530047,-2.5437581380375183],[-42.813127360027714,-2.5425576984550773],[-42.83338334461881,-2.5396423094322387],[-42.83818985773566,-2.5398138221785156]]]}"
00000000000000000009,77603,-0.25245308128757704,0.5121469826315492,-0.7646000639191263,"{""type"":""Polygon"",""coordinates"":[[[-37.806213076609104,-4.397382895025014],[-37.81119130845845,-4.3953290354902],[-37.833850611182164,-4.3821498463480335],[-37.85874148481539,-4.370510924654518],[-37.90339833646862,-4.340924096572539],[-37.902025080703055,-4.346401467265146],[-37.86357296807066,-4.374814788717062],[-37.85493915404646,-4.380196657001909],[-37.83485473092113,-4.391321969412596],[-37.810908011985596,-4.399537503383067],[-37.80558648858415,-4.399280725514116],[-37.806213076609104,-4.397382895025014]]]}"
